2022-11-08 10:25:18 install iproute2:amd64 <none> 5.10.0-4
2022-11-08 10:25:18 status half-installed iproute2:amd64 5.10.0-4
2022-11-08 10:25:18 status unpacked iproute2:amd64 5.10.0-4
2022-11-08 10:25:18 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-11-08 10:25:18 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:18 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:18 install ca-certificates:all <none> 20210119
2022-11-08 10:25:18 status half-installed ca-certificates:all 20210119
2022-11-08 10:25:18 status unpacked ca-certificates:all 20210119
2022-11-08 10:25:18 install libatm1:amd64 <none> 1:2.5.1-4
2022-11-08 10:25:18 status half-installed libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 status unpacked libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 install libgpm2:amd64 <none> 1.20.7-8
2022-11-08 10:25:19 status half-installed libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 status unpacked libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 install libpam-cap:amd64 <none> 1:2.44-1
2022-11-08 10:25:19 status half-installed libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 status unpacked libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 startup packages configure
2022-11-08 10:25:19 configure media-types:all 4.0.0 <none>
2022-11-08 10:25:19 status unpacked media-types:all 4.0.0
2022-11-08 10:25:19 status half-configured media-types:all 4.0.0
2022-11-08 10:25:19 status installed media-types:all 4.0.0
2022-11-08 10:25:19 configure libgpm2:amd64 1.20.7-8 <none>
2022-11-08 10:25:19 status unpacked libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 status half-configured libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 status installed libgpm2:amd64 1.20.7-8
2022-11-08 10:25:19 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-11-08 10:25:19 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:19 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:19 status installed libsqlite3-0:amd64 3.34.1-3
2022-11-08 10:25:19 configure libatm1:amd64 1:2.5.1-4 <none>
2022-11-08 10:25:19 status unpacked libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 status half-configured libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 status installed libatm1:amd64 1:2.5.1-4
2022-11-08 10:25:19 configure libcap2:amd64 1:2.44-1 <none>
2022-11-08 10:25:19 status unpacked libcap2:amd64 1:2.44-1
2022-11-08 10:25:19 status half-configured libcap2:amd64 1:2.44-1
2022-11-08 10:25:19 status installed libcap2:amd64 1:2.44-1
2022-11-08 10:25:19 configure libcap2-bin:amd64 1:2.44-1 <none>
2022-11-08 10:25:19 status unpacked libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:19 status half-configured libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:19 status installed libcap2-bin:amd64 1:2.44-1
2022-11-08 10:25:19 configure libmnl0:amd64 1.0.4-3 <none>
2022-11-08 10:25:19 status unpacked libmnl0:amd64 1.0.4-3
2022-11-08 10:25:19 status half-configured libmnl0:amd64 1.0.4-3
2022-11-08 10:25:19 status installed libmnl0:amd64 1.0.4-3
2022-11-08 10:25:19 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-11-08 10:25:19 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:19 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:19 status installed libncursesw6:amd64 6.2+20201114-2
2022-11-08 10:25:19 configure libxtables12:amd64 1.8.7-1 <none>
2022-11-08 10:25:19 status unpacked libxtables12:amd64 1.8.7-1
2022-11-08 10:25:19 status half-configured libxtables12:amd64 1.8.7-1
2022-11-08 10:25:19 status installed libxtables12:amd64 1.8.7-1
2022-11-08 10:25:19 configure libmd0:amd64 1.0.3-3 <none>
2022-11-08 10:25:19 status unpacked libmd0:amd64 1.0.3-3
2022-11-08 10:25:19 status half-configured libmd0:amd64 1.0.3-3
2022-11-08 10:25:19 status installed libmd0:amd64 1.0.3-3
2022-11-08 10:25:19 configure libmpdec3:amd64 2.5.1-1 <none>
2022-11-08 10:25:19 status unpacked libmpdec3:amd64 2.5.1-1
2022-11-08 10:25:19 status half-configured libmpdec3:amd64 2.5.1-1
2022-11-08 10:25:19 status installed libmpdec3:amd64 2.5.1-1
2022-11-08 10:25:19 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-11-08 10:25:19 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:19 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:19 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-08 10:25:19 configure libbsd0:amd64 0.11.3-1 <none>
2022-11-08 10:25:19 status unpacked libbsd0:amd64 0.11.3-1
2022-11-08 10:25:19 status half-configured libbsd0:amd64 0.11.3-1
2022-11-08 10:25:19 status installed libbsd0:amd64 0.11.3-1
2022-11-08 10:25:19 configure libelf1:amd64 0.183-1 <none>
2022-11-08 10:25:19 status unpacked libelf1:amd64 0.183-1
2022-11-08 10:25:19 status half-configured libelf1:amd64 0.183-1
2022-11-08 10:25:19 status installed libelf1:amd64 0.183-1
2022-11-08 10:25:19 configure libpam-cap:amd64 1:2.44-1 <none>
2022-11-08 10:25:19 status unpacked libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 status half-configured libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 status installed libpam-cap:amd64 1:2.44-1
2022-11-08 10:25:19 configure readline-common:all 8.1-1 <none>
2022-11-08 10:25:19 status unpacked readline-common:all 8.1-1
2022-11-08 10:25:19 status half-configured readline-common:all 8.1-1
2022-11-08 10:25:19 status installed readline-common:all 8.1-1
2022-11-08 10:25:19 configure libreadline8:amd64 8.1-1 <none>
2022-11-08 10:25:19 status unpacked libreadline8:amd64 8.1-1
2022-11-08 10:25:19 status half-configured libreadline8:amd64 8.1-1
2022-11-08 10:25:19 status installed libreadline8:amd64 8.1-1
2022-11-08 10:25:19 configure ca-certificates:all 20210119 <none>
2022-11-08 10:25:19 status unpacked ca-certificates:all 20210119
2022-11-08 10:25:19 status half-configured ca-certificates:all 20210119
2022-11-08 10:25:20 status installed ca-certificates:all 20210119
2022-11-08 10:25:20 status triggers-pending ca-certificates:all 20210119
2022-11-08 10:25:20 configure libbpf0:amd64 1:0.3-2 <none>
2022-11-08 10:25:20 status unpacked libbpf0:amd64 1:0.3-2
2022-11-08 10:25:20 status half-configured libbpf0:amd64 1:0.3-2
2022-11-08 10:25:20 status installed libbpf0:amd64 1:0.3-2
2022-11-08 10:25:20 configure libpython3.9-stdlib:amd64 3.9.2-1 <none>
2022-11-08 10:25:20 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-11-08 10:25:20 status half-configured libpython3.9-stdlib:amd64 3.9.2-1
2022-11-08 10:25:20 status installed libpython3.9-stdlib:amd64 3.9.2-1
2022-11-08 10:25:20 configure libpython3-stdlib:amd64 3.9.2-3 <none>
2022-11-08 10:25:20 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-11-08 10:25:20 status half-configured libpython3-stdlib:amd64 3.9.2-3
2022-11-08 10:25:20 status installed libpython3-stdlib:amd64 3.9.2-3
2022-11-08 10:25:20 configure iproute2:amd64 5.10.0-4 <none>
2022-11-08 10:25:20 status unpacked iproute2:amd64 5.10.0-4
2022-11-08 10:25:20 status half-configured iproute2:amd64 5.10.0-4
2022-11-08 10:25:20 status installed iproute2:amd64 5.10.0-4
2022-11-08 10:25:20 configure python3.9:amd64 3.9.2-1 <none>
2022-11-08 10:25:20 status unpacked python3.9:amd64 3.9.2-1
2022-11-08 10:25:20 status half-configured python3.9:amd64 3.9.2-1
2022-11-08 10:25:20 status installed python3.9:amd64 3.9.2-1
2022-11-08 10:25:20 configure python3:amd64 3.9.2-3 <none>
2022-11-08 10:25:20 status unpacked python3:amd64 3.9.2-3
2022-11-08 10:25:20 status half-configured python3:amd64 3.9.2-3
2022-11-08 10:25:20 status installed python3:amd64 3.9.2-3
2022-11-08 10:25:20 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-11-08 10:25:20 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-11-08 10:25:20 status installed libc-bin:amd64 2.31-13+deb11u5
2022-11-08 10:25:20 trigproc ca-certificates:all 20210119 <none>
2022-11-08 10:25:20 status half-configured ca-certificates:all 20210119
2022-11-08 10:25:21 status installed ca-certificates:all 20210119
